Ghelo_harsh,@SwiggyCares i paid from paytm and not any credit received from your site.
h_dusad,"@Hari65368707 @SagarRV1 Directly No, Indirectly Yes. many listed entities have invested in startups. These can be u… https://t.co/P4MaREjHIj"
Jago70702349,"#paytm customer care number
7098233591 all problems solved and pending amount instead refund and wrong amount refunded"
Ankitva08879533,@shubhkishore @Paytm @PaytmTravel @vijayshekhar Tag @PMOIndia he'll also help you.
RowdyRahul20,True Indian akshay fans don't forget to watch #GoodNewwz this weekend including me 😅 book your tickets now!… https://t.co/4YgXDJiDiL
Ankitva08879533,@shubhkishore @Paytm @PaytmTravel @vijayshekhar Are you still waiting outside the hotel??? Tag OLA they'll book a c… https://t.co/TBDPgmbGa7
sujankh25428289,"@ArshiKOfficial I think even in OYO,paytm you cannot come in top 500 list 😂😂..so better do your own business"
alokg_81,@Paytm is this write https://t.co/GCZKIbQlAg
deepanshusikka1,@Paytmcare I recharge my sim no 9138173629 today of Rs449 through airtel thanks app and through it Paytm UPI i made… https://t.co/3ZNmiG1dVr
itsazeena,"@bluemountro PATH C

#quiz #paytm #cash #cashprize #winner #competition #chance #water #health #healthy #excited… https://t.co/HLVdhClIP6"
AkshatAmrit,@shubhkishore @Paytm @PaytmTravel @vijayshekhar Can you please post some pictures of you along with the luggage on… https://t.co/3dtDWkyKQt
msg4puneet,"@Paytm @Paytmcare got this massage

 PAYTM
Dear paytm customer your KYC has been suspended.Paytm office pH 62899860… https://t.co/W6D9s3XWPV"
___iamkhan,"@Paytm @Paytmcare  I made a fasttag of two vehicle through Paytm but only one vehicle looks active on Paytm app.
Pi… https://t.co/IV4VaAzqFw"
TechAffairs17,"@Paytm @Paytmcare @PaytmTravel 
I had booked a hotel for 28th December.
I want to know about the cancellation charg… https://t.co/zu2iHY5tBd"
H_Tibs,@Paytm @PaytmFirst haven't heard from you since https://t.co/ejgJa6L1YV
psycho_memo_,@ManoEditz @nkpMuruga Plzz check your paytm balance👍
paytmbankcare,"@shibi_schr Hi Shibi, kindly share a written confirmation from Aditya Birla Finance Limited clearly mentioning the… https://t.co/LvnsdLUL1A"
vikramkhetri06,"News Point App Earn ₹ 400 to ₹ 500 Paytm Cash Daily |  News Point Se Paise Kaise Kamaye2019
https://t.co/PFl0AbNFfC"
SaranshBajaj2,"@mdeora1 I have an excellent business opportunity for paytm. It may help paytm monopolies brokerage industry. 
With regards 
Saransh Bajaj"
JaganCultFan,"Welcome To Paytm Family Anna...
@PasagadaPRASHAD 

Areyyy Anna yedhagithe adhi icheyyandi.. https://t.co/NtDn31LwVy"
Shrikhande7,"@cricrulers @CSKian716 😂😂😂😂
You want a player who turns up in Paytm trophy decider or world cup knockouts??
😂😂😂😂😂😂
Tinpot fans"
rhmech,"@Paytmcare 
Hi Raised request number 150958863. I purchased two Fasttag from paytm. One that is delivered is not ma… https://t.co/pZaCdkb7O3"
paytmbankcare,"@Maulikpatel31 In case your bill payment is still not processed after the mentioned timeline, kindly reach out to a… https://t.co/tR978zL2vX"
SaranshBajaj2,@ajayshekhar I have an excellent business opportunity for paytm. It may help paytm monopolies brokerage industry.… https://t.co/ULPBKcANV2
Vkm2842,@manish46721847 @PaytmBank Be certain careful. Association with paytm will lead u in big trouble. @vijayshekhar… https://t.co/JfOdxZR078
Amazingdeals360,"Paytm : Rs 150 Cashback On Bus Booking Of Minimum Rs.250 For New Users &amp; 20% Cashback Upto 150 for Existing Users

CODE-QRBUS"
SaranshBajaj2,"@sudsidle I have an excellent business opportunity for paytm. Help me book an appointment. 
With regards 
Saransh Bajaj"
SachinB72227656,See the below Offer from Paytm now. https://t.co/QJ0XPLrK9J
yksiwach,This is the result of online shopping with companies like @amazonIN &amp; @Paytm.  They have taken the payment twice an… https://t.co/M8AjocMpXp
SaranshBajaj2,"@vijayshekhar I have an excellent business opportunity for paytm. Help me book an appointment. 
With regards
Saransh Bajaj"
Vkm2842,@PaytmBank I have data from RBI how huge no of frauds being executed on ur banking platform. Ur banking and paytm p… https://t.co/dpgT7Mip5J
amitmittal01,@Paytmcare @umang_g Exactly @umang_g . It is as much an issue of @Paytm as it is user's. But @Paytm does not care.… https://t.co/myy4My2uwx
lokender_IPS,Beware of fake paytm KYC verification calls !! ⁦@Paytm⁩ #QRscam ⁦@PaytmBuildIndia⁩ ⁦@RBI⁩ #faridabad ⁦… https://t.co/6mGp5mdkmq
paytmbankcare,"@JayeshBhola3 Hi, we understand you have a concern regarding checking your barcode and vehicle details. To check th… https://t.co/pnujUXdHVE"
paytmbankcare,"@SagarRa95165523 Hi Sagar! As informed earlier, kindly note that once you select the payment mode as 'Paytm', you g… https://t.co/IF5eKxKqVO"
PujaSin20348780,#Paytm dont buy #FASTag from #Paytm #paytmchorhai
PujaSin20348780,#Paytm dont buy #FASTag from #Paytm #paytmchorhai
PujaSin20348780,#Paytm #FASTag  dont buy
madanyadav91,"It's disappointing while buying Fast tag at @Paytm we have to pay Rs 450, whereas @AxisBank providing it at free of cost."
Anthony87889524,@paytmbankcare I have received sms stating my fast tag is active but not activated in app. I getting very much diss… https://t.co/zFf2RB7oNg
PujaSin20348780,#Paytm dont buy #FASTag from #Paytm #paytmchorhai
SagarRa95165523,"@zomatocare @ZomatoIN @Zomato 

Hi Team,

Waiting for your insight , why these auto debit orders placed by zomato u… https://t.co/AcxuB9Nk6M"
IconicRaju,"Paytm kro

GOOD NEWWZ FROM TOMORROW"
rishab94504621,#Paytm paytm customer service is very poor and not responding &amp; my complain number is 150839322
